"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"7.791","363944.6","7746990.2","-0.644","1.356","-0.644","-2.000"
"8.468","363638.5","7746387.8","-0.618","1.382","-0.618","-2.000"
"9.146","363334.7","7745784.7","-0.604","1.396","-0.604","-2.000"
"13.210","361475.6","7742290.9","-0.643","1.357","-0.643","-2.000"
"13.888","361374.3","7741624.2","-0.622","1.378","-0.622","-2.000"
"14.565","361264.6","7740958.6","-0.662","1.338","-0.662","-2.000"
"15.243","361155.2","7740292.9","-0.652","1.348","-0.652","-2.000"
"15.920","361046","7739627.2","-0.686","1.314","-0.686","-2.000"
"33.534","352903.3","7724909.7","-0.657","1.343","-0.657","-2.000"
"0.339","365228.3","7753297.2","-0.637","1.727","-0.637","-2.364"
