"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"6.436","364681.4","7748115.7","-4.153","3.763","-3.163","-7.916"
"5.081","364949.6","7749374.4","-4.158","3.768","-3.168","-7.926"
"1.694","365979.3","7752261.3","-4.16","3.787","-3.167","-7.947"
"2.371","366022.1","7751602.1","-4.201","3.75","-3.207","-7.951"
"4.403","365050.1","7750040.8","-4.269","3.719","-3.27","-7.988"
"7.113","364256","7747589.5","-4.21","3.788","-3.21","-7.997"
"7.791","363944.6","7746990.2","-4.15","3.85","-3.15","-8.000"
"8.468","363638.5","7746387.8","-4.076","3.924","-3.076","-8.000"
"33.534","352903.3","7724909.7","-4.314","3.686","-3.314","-8.000"
"0.339","365228.3","7753297.2","-4.139","4.134","-2.957","-8.272"
