"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"5.758","364954.3","7748713.4","-0.788","2.154","-0.788","-2.942"
"6.436","364681.4","7748115.7","-0.784","2.185","-0.784","-2.968"
"51.148","340911.7","7717423.2","-0.825","2.149","-0.825","-2.973"
"11.855","361820.9","7743578.6","-0.813","2.169","-0.813","-2.983"
"41.663","348979","7719837.7","-0.838","2.159","-0.838","-2.998"
"8.468","363638.5","7746387.8","-0.829","2.171","-0.829","-3.000"
"9.146","363334.7","7745784.7","-0.829","2.171","-0.829","-3.000"
"14.565","361264.6","7740958.6","-0.829","2.171","-0.829","-3.000"
"15.920","361046","7739627.2","-0.819","2.181","-0.819","-3.000"
"30.824","354308.1","7727207.1","-0.801","2.199","-0.801","-3.000"
