"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"6.436","364681.4","7748115.7","-21.852","7.833","-7.01","-29.685"
"3.726","365630.6","7750390.2","-22.03","7.708","-6.681","-29.738"
"1.694","365979.3","7752261.3","-21.807","7.996","-7.899","-29.803"
"2.371","366022.1","7751602.1","-22.27","7.544","-7.363","-29.815"
"4.403","365050.1","7750040.8","-22.297","7.657","-7.32","-29.955"
"7.791","363944.6","7746990.2","-21.78","8.22","-6.78","-30.000"
"3.049","365932.9","7750933.6","-22.167","8.027","-7.557","-30.194"
"5.758","364954.3","7748713.4","-22.196","8.204","-7.486","-30.400"
"5.081","364949.6","7749374.4","-22.321","8.393","-7.46","-30.714"
"0.339","365228.3","7753297.2","-22.164","8.562","-7.983","-30.726"
