"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"15.920","361046","7739627.2","-0.751","1.249","-0.751","-2.000"
"16.598","360936.7","7738961.5","-0.721","1.279","-0.721","-2.000"
"26.759","356997.1","7730203.2","-0.768","1.232","-0.768","-2.000"
"27.437","356461.8","7729787.6","-0.744","1.256","-0.744","-2.000"
"30.147","354702.3","7727756.4","-0.755","1.245","-0.755","-2.000"
"30.824","354308.1","7727207.1","-0.779","1.221","-0.779","-2.000"
"31.502","353913.5","7726658.1","-0.758","1.242","-0.758","-2.000"
"36.921","351434.4","7721987.1","-0.712","1.288","-0.712","-2.000"
"67.407","338419.9","7705685.4","-0.748","1.426","-0.748","-2.174"
"0.339","365228.3","7753297.2","-0.704","1.659","-0.704","-2.364"
