"km_round","X","Y","HS","UCL","LCL","HS-UCL"
"2.371","366022.1","7751602.1","-2.037","2.932","-2.037","-4.969"
"10.501","362699.8","7744596.6","-2.035","2.936","-2.035","-4.971"
"17.953","360476.3","7737735.4","-1.975","3.01","-1.975","-4.985"
"34.889","352327.4","7723688.1","-2.052","2.933","-2.052","-4.985"
"9.823","363039.5","7745176.9","-2.078","2.918","-2.078","-4.996"
"7.113","364256","7747589.5","-1.999","2.999","-1.999","-4.998"
"8.468","363638.5","7746387.8","-2.001","2.999","-2.001","-5.000"
"9.146","363334.7","7745784.7","-2.078","2.922","-2.078","-5.000"
"15.920","361046","7739627.2","-2.061","2.939","-2.061","-5.000"
"30.147","354702.3","7727756.4","-1.986","3.014","-1.986","-5.000"
