ID;Lat;Long;Zone;Type
178;360621.05;7737891.47;24K;1
179;360552.84;7737818.35;24K;1
180;360484.96;7737744.92;24K;1
181;360417.31;7737671.27;24K;1
182;360349.88;7737597.43;24K;1
183;360282.72;7737523.34;24K;1
184;360213.15;7737451.53;24K;1
185;360144.64;7737378.68;24K;1
186;360078.02;7737304.11;24K;1
187;360013.31;7737227.88;24K;1
188;359950.56;7737150.02;24K;1
189;359889.81;7737070.59;24K;1
190;359832.92;7736988.39;24K;1
191;359777.64;7736905.06;24K;1
192;359722.03;7736821.95;24K;1
193;359666.06;7736739.08;24K;1
194;359609.72;7736656.46;24K;1
195;359553.06;7736574.06;24K;1
196;359496.09;7736491.88;24K;1
197;359438.8;7736409.91;24K;1
198;359381.18;7736328.19;24K;1
199;359323.16;7736246.74;24K;1
200;359263.65;7736166.39;24K;1
201;359206.49;7736084.35;24K;1
202;359153.06;7735999.83;24K;1
203;359103.48;7735912.99;24K;1
204;359057.83;7735824.03;24K;1
205;359016.23;7735733.11;24K;1
206;358985.5;7735638.12;24K;1
207;358961.25;7735541.11;24K;1
208;358940.99;7735443.19;24K;1
209;358924.53;7735344.56;24K;1
210;358911.89;7735245.37;24K;1
211;358903.32;7735145.75;24K;1
212;358898.61;7735045.87;24K;1
213;358897.77;7734945.88;24K;1
214;358903.8;7734846.12;24K;1
215;358912.9;7734746.54;24K;1
216;358922;7734646.95;24K;1
217;358931.1;7734547.37;24K;1
218;358939.75;7734447.76;24K;1
219;358940.22;7734347.8;24K;1
220;358932.18;7734248.15;24K;1
221;358915.44;7734149.6;24K;1
222;358885.8;7734054.3;24K;1
223;358850.46;7733960.76;24K;1
224;358814.02;7733867.63;24K;1
225;358776.59;7733774.9;24K;1
226;358738.22;7733682.56;24K;1
227;358698.9;7733590.61;24K;1
228;358658.52;7733499.13;24K;1
229;358617.16;7733408.08;24K;1
230;358574.86;7733317.47;24K;1
231;358526.18;7733230.23;24K;1
232;358469.94;7733147.58;24K;1
233;358407.88;7733069.2;24K;1
234;358340.32;7732995.51;24K;1
235;358267.61;7732926.89;24K;1
236;358190.14;7732863.69;24K;1
237;358108.25;7732806.33;24K;1
238;358025.73;7732749.94;24K;1
239;357950.89;7732683.72;24K;1
240;357885.36;7732608.27;24K;1
241;357830.25;7732524.91;24K;1
242;357786.51;7732435.06;24K;1
243;357754.88;7732340.28;24K;1
244;357735.9;7732242.17;24K;1
245;357729.89;7732142.43;24K;1
246;357736.51;7732042.71;24K;1
247;357744.87;7731943.06;24K;2
248;357753.33;7731843.41;24K;2
249;357762;7731743.79;24K;2
250;357770.84;7731644.18;24K;2
251;357779.82;7731544.59;24K;2
252;357789.06;7731445.01;24K;2
253;357798.37;7731345.45;24K;2
254;357807.96;7731245.91;24K;2
255;357812.21;7731146.27;24K;1
256;357800.94;7731046.94;24K;1
257;357781.71;7730948.84;24K;1
258;357748.35;7730855.37;24K;1
259;357691.59;7730773.12;24K;1
260;357625.19;7730698.45;24K;1
261;357550.05;7730632.57;24K;1
262;357471.25;7730571.01;24K;1
263;357392.45;7730509.44;24K;1
264;357313.49;7730448.07;24K;1
265;357234.53;7730386.7;24K;1
266;357155.46;7730325.49;24K;1
267;357076.35;7730264.32;24K;1
268;356997.16;7730203.26;24K;1
269;356917.89;7730142.3;24K;1
270;356838.58;7730081.39;24K;1
271;356759.15;7730020.63;24K;1
272;356679.73;7729959.87;24K;1
273;356601.29;7729897.85;24K;1
274;356522.85;7729835.82;24K;1
275;356444.42;7729773.79;24K;1
276;356365.98;7729711.75;24K;1
277;356287.54;7729649.72;24K;1
278;356209.11;7729587.69;24K;1
279;356130.67;7729525.66;24K;1
280;356051.72;7729464.31;24K;1
281;355972.84;7729402.87;24K;1
282;355897.22;7729337.45;24K;1
283;355825.24;7729268.05;24K;1
284;355756.93;7729195.04;24K;1
285;355692.56;7729118.54;24K;1
286;355635.26;7729036.58;24K;1
287;355577.48;7728954.96;24K;1
288;355519.25;7728873.67;24K;1
289;355460.55;7728792.71;24K;1
290;355401.39;7728712.09;24K;1
291;355341.77;7728631.8;24K;1
292;355281.7;7728551.85;24K;1
293;355221.15;7728472.28;24K;1
294;355160.09;7728393.08;24K;1
295;355101.18;7728312.28;24K;1
296;355042.88;7728231.04;24K;1
297;354984.58;7728149.79;24K;1
298;354926.27;7728068.55;24K;1
299;354867.97;7727987.3;24K;1
300;354809.67;7727906.06;24K;1
301;354751.36;7727824.81;24K;1
302;354693.06;7727743.57;24K;1
303;354634.76;7727662.32;24K;1
304;354576.45;7727581.08;24K;1
305;354518.15;7727499.84;24K;1
306;354459.84;7727418.59;24K;1
307;354401.54;7727337.35;24K;1
308;354343.24;7727256.1;24K;1
309;354284.93;7727174.86;24K;1
310;354226.63;7727093.61;24K;1
311;354168.33;7727012.37;24K;1
312;354109.94;7726931.18;24K;1
313;354051.54;7726850;24K;1
314;353993.14;7726768.83;24K;1
315;353934.74;7726687.65;24K;1
316;353876.44;7726606.41;24K;1
317;353818.14;7726525.16;24K;1
318;353759.83;7726443.92;24K;1
319;353701.54;7726362.67;24K;1
320;353643.34;7726281.35;24K;1
321;353585.13;7726200.04;24K;1
322;353526.92;7726118.72;24K;1
