"specie" "km" "X" "Y"
"Boidae" 44.3 345920.318 7720156.692
"Boidae" 44.3 345961.518 7720176.07
"Boidae" 44.3 345961.518 7720176.07
"Boidae" 44.8 345472.064 7720137.767
"Boidae" 44.9 345472.064 7720137.767
"Boidae" 44.9 345472.064 7720137.767
"Boidae" 45 345472.064 7720137.767
"Boidae" 45 345470.506 7720124.687
"Boidae" 45 345472.064 7720137.767
"Boidae" 45.1 345470.506 7720124.687
"Boidae" 45.2 345470.506 7720124.687
"Boidae" 45.2 345472.064 7720137.767
"Boidae" 45.4 344935.159 7720152.463
"Boidae" 45.4 344968.026 7720165.828
"Boidae" 45.4 344968.026 7720165.828
"Boidae" 45.5 344968.026 7720165.828
"Boidae" 45.5 344968.026 7720165.828
"Boidae" 45.6 344935.159 7720152.463
"Boidae" 45.7 344968.026 7720165.828
"Boidae" 45.7 344935.159 7720152.463
"Boidae" 45.7 344968.026 7720165.828
"Boidae" 45.8 344606.116 7719876.864
"Boidae" 46 344606.116 7719876.864
"Boidae" 46 344598.104 7719896.982
"Boidae" 46 344606.116 7719876.864
"Boidae" 46.7 344322.464 7719408.667
"Boidae" 46.8 344185.466 7718984.571
"Boidae" 47.1 344196.843 7718963.296
"Boidae" 47.5 343876.1 7718579.672
"Boidae" 47.7 343899.251 7718615.518
"Boidae" 48 343436.755 7718387.36
"Boidae" 48 343415.342 7718405.572
"Boidae" 48 343415.342 7718405.572
"Boidae" 48.3 342971.592 7718267.249
"Boidae" 48.8 342609.159 7717982.388
"Boidae" 49 342603.773 7717960.365
"Boidae" 49 342609.159 7717982.388
"Boidae" 49.2 342609.159 7717982.388
"Boidae" 49.3 342082.591 7717913.943
"Boidae" 49.8 341622.408 7717980.912
"Boidae" 49.9 341649.89 7717732.333
"Boidae" 50 341622.408 7717980.912
"Boidae" 50 341649.89 7717732.333
"Boidae" 50 341622.408 7717980.912
"Boidae" 50 341649.89 7717732.333
"Boidae" 50 341622.408 7717980.912
"Boidae" 50 341622.408 7717980.912
"Boidae" 50 341649.89 7717732.333
"Boidae" 50.1 341622.408 7717980.912
"Boidae" 50.9 340796.101 7717325.834
"Boidae" 51 340796.101 7717325.834
"Boidae" 51 340796.101 7717325.834
"Boidae" 51 340796.101 7717325.834
"Boidae" 51.2 340796.101 7717325.834
"Boidae" 51.2 340796.101 7717325.834
"Boidae" 51.4 340502.743 7716894.884
"Boidae" 51.4 340502.743 7716894.884
"Boidae" 51.6 340502.743 7716894.884
"Boidae" 51.9 340061.989 7716859.844
"Boidae" 51.9 340061.989 7716859.844
"Boidae" 52 340061.989 7716859.844
"Boidae" 52.1 340061.989 7716859.844
"Boidae" 52.1 340061.989 7716859.844
"Boidae" 53 339344.557 7716171.864
"Boidae" 53.9 338524.07 7715686.568
"Boidae" 54.4 338047.546 7715478.904
"Boidae" 54.4 338047.546 7715478.904
"Boidae" 54.7 338047.546 7715478.904
"Boidae" 54.7 338047.546 7715478.904
"Boidae" 54.9 337643.861 7715254.701
"Boidae" 55 337643.861 7715254.701
"Boidae" 55 337643.861 7715254.701
"Boidae" 55 337643.861 7715254.701
"Boidae" 55.3 337568.996 7714784.807
"Boidae" 55.3 337568.996 7714784.807
"Boidae" 55.5 337568.996 7714784.807
"Boidae" 55.5 337568.996 7714784.807
"Boidae" 55.8 337431.418 7714326.782
"Boidae" 56 337431.418 7714326.782
"Boidae" 56 337431.418 7714326.782
"Boidae" 56 337431.418 7714326.782
"Boidae" 56 337431.418 7714326.782
"Boidae" 57 336856.248 7713572.935
"Boidae" 57.5 336872.742 7713080.161
"Boidae" 57.8 337156.151 7712670.732
"Boidae" 57.8 337156.151 7712670.732
"Boidae" 58 337156.151 7712670.732
"Boidae" 58.8 337077.546 7711722.711
"Boidae" 59 337077.546 7711722.711
"Boidae" 59 337077.546 7711722.711
"Boidae" 59 337077.546 7711722.711
"Boidae" 59 337077.546 7711722.711
"Boidae" 59 337077.546 7711722.711
"Boidae" 59 337077.546 7711722.711
"Boidae" 59.1 337077.546 7711722.711
"Boidae" 59.3 337259.706 7711262.417
"Boidae" 59.5 337259.706 7711262.417
"Boidae" 59.5 337259.706 7711262.417
"Boidae" 59.7 337259.706 7711262.417
"Boidae" 59.7 337259.706 7711262.417
"Boidae" 59.7 337259.706 7711262.417
"Boidae" 59.8 337258.199 7710838.955
"Boidae" 59.8 337258.199 7710838.955
"Boidae" 60 337258.199 7710838.955
"Boidae" 60 337258.199 7710838.955
"Boidae" 60 337258.199 7710838.955
"Boidae" 60.5 336902.465 7710465.524
"Boidae" 60.5 336902.465 7710465.524
"Boidae" 60.5 336902.465 7710465.524
"Boidae" 60.5 336902.465 7710465.524
"Boidae" 60.6 336902.465 7710465.524
"Boidae" 61 336544.012 7710143.727
"Boidae" 61 336544.012 7710143.727
"Boidae" 61.6 336155.647 7709796.093
"Boidae" 62 335904.546 7709355.949
"Boidae" 62 335904.546 7709355.949
"Boidae" 62 335904.546 7709355.949
"Boidae" 62 335904.546 7709355.949
"Boidae" 62.5 335849.51 7708867.227
"Boidae" 63 335865.057 7708360.781
"Boidae" 63 335865.057 7708360.781
"Boidae" 63 335865.057 7708360.781
"Boidae" 63.3 336136.643 7707956.006
"Boidae" 64.3 336888.004 7707396.119
"Boidae" 64.5 336888.004 7707396.119
"Boidae" 64.9 337378.731 7707264.265
"Boidae" 65 337378.731 7707264.265
"Boidae" 65 337378.731 7707264.265
"Boidae" 65.9 337979.922 7706567.476
"Boidae" 66 337979.922 7706567.476
"Boidae" 66.7 338313.092 7706199.492
"Boidae" 66.8 338371.719 7705737.41
"Boidae" 67 338371.719 7705737.41
"Boidae" 67 338371.719 7705737.41
"Cthous" 8.6 363628.19 7746378.035
"Cthous" 9.9 362943.767 7744996.136
"Cthous" 10.6 362706.638 7744612.421
"Cthous" 10.8 362352.155 7744272.296
"Cthous" 11 362349.077 7744237.236
"Cthous" 11 362349.077 7744237.236
"Cthous" 11 362349.077 7744237.236
"Cthous" 11.1 362352.155 7744272.296
"Cthous" 11.1 362349.077 7744237.236
"Cthous" 11.3 362056.018 7743849.498
