Lat	Long	Zone	Type
359263.65	7736166.39	24K
359206.49	7736084.35	24K
359153.06	7735999.83	24K
359103.48	7735912.99	24K
359057.83	7735824.03	24K
359016.23	7735733.11	24K
358985.50	7735638.12	24K
358961.25	7735541.11	24K
358940.99	7735443.19	24K
358924.53	7735344.56	24K
358911.89	7735245.37	24K
358903.32	7735145.75	24K
358898.61	7735045.87	24K
358897.77	7734945.88	24K
358903.80	7734846.12	24K
358912.90	7734746.54	24K
358922.00	7734646.95	24K
358931.10	7734547.37	24K
358939.75	7734447.76	24K
358940.22	7734347.80	24K
358932.18	7734248.15	24K
358915.44	7734149.60	24K
358885.80	7734054.30	24K
358850.46	7733960.76	24K
358814.02	7733867.63	24K
358776.59	7733774.90	24K
358738.22	7733682.56	24K
358698.90	7733590.61	24K
358658.52	7733499.13	24K
358617.16	7733408.08	24K
358574.86	7733317.47	24K
358526.18	7733230.23	24K
358469.94	7733147.58	24K
358407.88	7733069.20	24K
358340.32	7732995.51	24K
358267.61	7732926.89	24K
358190.14	7732863.69	24K
358108.25	7732806.33	24K
358025.73	7732749.94	24K
357950.89	7732683.72	24K
357885.36	7732608.27	24K
357830.25	7732524.91	24K
357786.51	7732435.06	24K
357754.88	7732340.28	24K
357735.90	7732242.17	24K
357729.89	7732142.43	24K
357736.51	7732042.71	24K
357744.87	7731943.06	24K
357753.33	7731843.41	24K
357762.00	7731743.79	24K
357770.84	7731644.18	24K
357779.82	7731544.59	24K
357789.06	7731445.01	24K
357798.37	7731345.45	24K
357807.96	7731245.91	24K
357812.21	7731146.27	24K
357800.94	7731046.94	24K
357781.71	7730948.84	24K
357748.35	7730855.37	24K
357691.59	7730773.12	24K
357625.19	7730698.45	24K
357550.05	7730632.57	24K
357471.25	7730571.01	24K
357392.45	7730509.44	24K
357313.49	7730448.07	24K
357234.53	7730386.70	24K
357155.46	7730325.49	24K
357076.35	7730264.32	24K
356997.16	7730203.26	24K
356917.89	7730142.30	24K
356838.58	7730081.39	24K
356759.15	7730020.63	24K
356679.73	7729959.87	24K
356601.29	7729897.85	24K
356522.85	7729835.82	24K
356444.42	7729773.79	24K
356365.98	7729711.75	24K
356287.54	7729649.72	24K
356209.11	7729587.69	24K
356130.67	7729525.66	24K
356051.72	7729464.31	24K
355972.84	7729402.87	24K
355897.22	7729337.45	24K
355825.24	7729268.05	24K
355756.93	7729195.04	24K
355692.56	7729118.54	24K
355635.26	7729036.58	24K
355577.48	7728954.96	24K
355519.25	7728873.67	24K
355460.55	7728792.71	24K
355401.39	7728712.09	24K
355341.77	7728631.80	24K
355281.70	7728551.85	24K
355221.15	7728472.28	24K
355160.09	7728393.08	24K
355101.18	7728312.28	24K
355042.88	7728231.04	24K
354984.58	7728149.79	24K
354926.27	7728068.55	24K
354867.97	7727987.30	24K
354809.67	7727906.06	24K
354751.36	7727824.81	24K
354693.06	7727743.57	24K
354634.76	7727662.32	24K
354576.45	7727581.08	24K
354518.15	7727499.84	24K
354459.84	7727418.59	24K
354401.54	7727337.35	24K
354343.24	7727256.10	24K
354284.93	7727174.86	24K
354226.63	7727093.61	24K
354168.33	7727012.37	24K
354109.94	7726931.18	24K
354051.54	7726850.00	24K
353993.14	7726768.83	24K
353934.74	7726687.65	24K
353876.44	7726606.41	24K
353818.14	7726525.16	24K
353759.83	7726443.92	24K
353701.54	7726362.67	24K
353643.34	7726281.35	24K
353585.13	7726200.04	24K
353526.92	7726118.72	24K
353469.85	7726036.64	24K
353414.59	7725953.30	24K
353357.75	7725871.02	24K
353310.31	7725783.40	24K
353268.08	7725692.75	24K
353225.86	7725602.11	24K
353183.63	7725511.46	24K
353141.40	7725420.81	24K
353099.18	7725330.16	24K
353056.95	7725239.52	24K
353014.72	7725148.87	24K
352972.50	7725058.22	24K
352930.27	7724967.58	24K
352888.05	7724876.93	24K
352846.00	7724786.20	24K
352804.00	7724695.45	24K
352761.99	7724604.70	24K
352719.85	7724514.01	24K
352677.69	7724423.33	24K
352635.53	7724332.65	24K
352593.23	7724242.04	24K
352550.93	7724151.42	24K
352508.61	7724060.82	24K
352466.17	7723970.28	24K
352423.72	7723879.73	24K
352381.44	7723789.11	24K
352335.20	7723700.47	24K
352282.05	7723615.81	24K
352222.37	7723535.60	24K
352156.36	7723460.52	24K
352084.05	7723391.48	24K
352009.35	7723325.01	24K
