specie	km
Boidae	40
Boidae	40
Cthous	40
Cthous	40
Cthous	40
Cthous	40
Cinsidiosus	40
Cinsidiosus	40
Cinsidiosus	40
Cinsidiosus	40
Dasypodidae	40
Dasypodidae	40
Daurita	40
Daurita	40
Daurita	40
Daurita	40
Daurita	40
Daurita	40
Daurita	40
Daurita	40
Daurita	40
Hhydrochaeris	40
Ttetradactyla	40
Ttetradactyla	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
Boidae	40
PotentialUsers	40
Daurita	40
Daurita	40
Daurita	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
Boidae	40.5
Daurita	40.5
Smerianae	40.5
PotentialUsers	40.5
PotentialUsers	40.5
PotentialUsers	40.5
Boidae	40.5
Cthous	40.5
Daurita	40.5
Daurita	40.5
Daurita	40.5
Daurita	40.5
Hhydrochaeris	40.5
Hhydrochaeris	40.5
PotentialUsers	40.5
PotentialUsers	40.5
PotentialUsers	40.5
PotentialUsers	40.5
PotentialUsers	40.5
PotentialUsers	40.5
PotentialUsers	40.5
PotentialUsers	40.5
Daurita	40.5
Daurita	40.5
PotentialUsers	40.5
PotentialUsers	40.5
Daurita	41
PotentialUsers	41
Boidae	41
Cthous	41
Cinsidiosus	41
Daurita	41
Daurita	41
Daurita	41
Daurita	41
Daurita	41
Daurita	41
Daurita	41
Daurita	41
PotentialUsers	41
PotentialUsers	41
PotentialUsers	41
PotentialUsers	41
PotentialUsers	41
PotentialUsers	41
PotentialUsers	41
PotentialUsers	41
PotentialUsers	41
PotentialUsers	41
PotentialUsers	41
Boidae	41
Daurita	41
Daurita	41
PotentialUsers	41
PotentialUsers	41
PotentialUsers	41
PotentialUsers	41.5
Boidae	41.5
PotentialUsers	41.5
Daurita	41.5
Daurita	41.5
Daurita	41.5
Daurita	41.5
PotentialUsers	41.5
PotentialUsers	41.5
PotentialUsers	41.5
PotentialUsers	41.5
Daurita	41.5
Daurita	41.5
PotentialUsers	41.5
PotentialUsers	41.5
Boidae	41.5
Daurita	41.5
Daurita	41.5
Pcancrivorus	41.5
PotentialUsers	41.5
PotentialUsers	41.5
PotentialUsers	41.5
PotentialUsers	41.5
Cinsidiosus	42
Daurita	42
Daurita	42
Daurita	42
Daurita	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
Cthous	42
Daurita	42
PotentialUsers	42
PotentialUsers	42
Cthous	42
Cinsidiosus	42
Cinsidiosus	42
Daurita	42
Daurita	42
Daurita	42
Daurita	42
Daurita	42
Daurita	42
Daurita	42
Daurita	42
Daurita	42
Daurita	42
Daurita	42
Daurita	42
Sbrasiliensis	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
Cthous	42
Daurita	42
Daurita	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
Daurita	42
Daurita	42
Daurita	42
Pcancrivorus	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
PotentialUsers	42
Daurita	42.5
Daurita	42.5
Daurita	42.5
PotentialUsers	42.5
PotentialUsers	42.5
PotentialUsers	42.5
Boidae	42.5
Cthous	42.5
Daurita	42.5
Daurita	42.5
Daurita	42.5
Sbrasiliensis	42.5
PotentialUsers	42.5
PotentialUsers	42.5
PotentialUsers	42.5
PotentialUsers	42.5
PotentialUsers	42.5
PotentialUsers	42.5
Daurita	42.5
Ttetradactyla	42.5
PotentialUsers	42.5
PotentialUsers	42.5
Daurita	42.5
PotentialUsers	42.5
Boidae	43
Cinsidiosus	43
Daurita	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
Daurita	43
PotentialUsers	43
PotentialUsers	43
Boidae	43
Boidae	43
Cthous	43
Cinsidiosus	43
Cinsidiosus	43
Dasypodidae	43
Daurita	43
Daurita	43
Daurita	43
Daurita	43
Daurita	43
Daurita	43
Daurita	43
Daurita	43
Daurita	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
Cthous	43
Hhydrochaeris	43
Smerianae	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
Boidae	43
Cinsidiosus	43
Daurita	43
PotentialUsers	43
PotentialUsers	43
PotentialUsers	43
Daurita	43.5
PotentialUsers	43.5
Smerianae	43.5
PotentialUsers	43.5
Daurita	43.5
Daurita	43.5
PotentialUsers	43.5
PotentialUsers	43.5
Cinsidiosus	43.5
Daurita	43.5
PotentialUsers	43.5
PotentialUsers	43.5
PotentialUsers	43.5
Daurita	43.5
PotentialUsers	43.5
Dasypodidae	44
Daurita	44
Smerianae	44
PotentialUsers	44
PotentialUsers	44
PotentialUsers	44
Cinsidiosus	44
Daurita	44
PotentialUsers	44
PotentialUsers	44
Boidae	44
Cthous	44
Daurita	44
Daurita	44
Daurita	44
Daurita	44
Daurita	44
Daurita	44
PotentialUsers	44
PotentialUsers	44
PotentialUsers	44
PotentialUsers	44
PotentialUsers	44
PotentialUsers	44
PotentialUsers	44
PotentialUsers	44
Cthous	44
Daurita	44
Daurita	44
PotentialUsers	44
PotentialUsers	44
PotentialUsers	44
PotentialUsers	44
Cthous	44
Daurita	44
Daurita	44
PotentialUsers	44
PotentialUsers	44
PotentialUsers	44
Boidae	44.5
Boidae	44.5
Boidae	44.5
Cinsidiosus	44.5
Pcancrivorus	44.5
PotentialUsers	44.5
PotentialUsers	44.5
PotentialUsers	44.5
PotentialUsers	44.5
PotentialUsers	44.5
Cinsidiosus	44.5
PotentialUsers	44.5
Cthous	44.5
Cthous	44.5
Cinsidiosus	44.5
PotentialUsers	44.5
PotentialUsers	44.5
PotentialUsers	44.5
Cthous	44.5
Cthous	44.5
Cthous	44.5
Cinsidiosus	44.5
PotentialUsers	44.5
PotentialUsers	44.5
PotentialUsers	44.5
PotentialUsers	44.5
Cthous	44.5
Cinsidiosus	44.5
Pcancrivorus	44.5
PotentialUsers	44.5
PotentialUsers	44.5
PotentialUsers	44.5
Boidae	45
PotentialUsers	45
Boidae	45
Boidae	45
Cinsidiosus	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
Boidae	45
Boidae	45
Boidae	45
Cthous	45
Cthous	45
Cinsidiosus	45
Cinsidiosus	45
Daurita	45
Daurita	45
Daurita	45
Daurita	45
Daurita	45
Daurita	45
Daurita	45
Daurita	45
Hhydrochaeris	45
Ttetradactyla	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
Boidae	45
Cinsidiosus	45
Cpaca	45
Daurita	45
Daurita	45
Daurita	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
Boidae	45
Boidae	45
Daurita	45
Daurita	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
PotentialUsers	45
Cthous	45.5
Daurita	45.5
Daurita	45.5
Daurita	45.5
Smerianae	45.5
PotentialUsers	45.5
PotentialUsers	45.5
PotentialUsers	45.5
PotentialUsers	45.5
PotentialUsers	45.5
PotentialUsers	45.5
Boidae	45.5
Boidae	45.5
Boidae	45.5
PotentialUsers	45.5
PotentialUsers	45.5
PotentialUsers	45.5
Boidae	45.5
Boidae	45.5
Cinsidiosus	45.5
PotentialUsers	45.5
PotentialUsers	45.5
PotentialUsers	45.5
Boidae	45.5
Dasypodidae	45.5
Daurita	45.5
PotentialUsers	45.5
PotentialUsers	45.5
PotentialUsers	45.5
Boidae	45.5
Boidae	45.5
Boidae	45.5
Cinsidiosus	45.5
Daurita	45.5
Daurita	45.5
Daurita	45.5
Ttetradactyla	45.5
PotentialUsers	45.5
PotentialUsers	45.5
PotentialUsers	45.5
PotentialUsers	45.5
PotentialUsers	45.5
PotentialUsers	45.5
PotentialUsers	45.5
PotentialUsers	45.5
Boidae	46
Cinsidiosus	46
Daurita	46
Daurita	46
Daurita	46
Pcancrivorus	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
Cthous	46
Sbrasiliensis	46
PotentialUsers	46
PotentialUsers	46
Boidae	46
Boidae	46
Boidae	46
Cthous	46
Cthous	46
Cthous	46
Cinsidiosus	46
Cpaca	46
Cpaca	46
Daurita	46
Daurita	46
Daurita	46
Daurita	46
Daurita	46
Pcancrivorus	46
Ttetradactyla	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
PotentialUsers	46
Pcancrivorus	46
PotentialUsers	46
Cthous	46
Daurita	46
PotentialUsers	46
PotentialUsers	46
Cinsidiosus	46.5
PotentialUsers	46.5
Daurita	46.5
PotentialUsers	46.5
Cthous	46.5
Daurita	46.5
PotentialUsers	46.5
PotentialUsers	46.5
Dasypodidae	46.5
PotentialUsers	46.5
Boidae	46.5
Daurita	46.5
Pcancrivorus	46.5
PotentialUsers	46.5
PotentialUsers	46.5
PotentialUsers	46.5
PotentialUsers	46.5
Boidae	47
Cthous	47
Daurita	47
PotentialUsers	47
PotentialUsers	47
PotentialUsers	47
Cthous	47
Cthous	47
Cinsidiosus	47
Dasypodidae	47
Daurita	47
Daurita	47
Daurita	47
Pcancrivorus	47
PotentialUsers	47
PotentialUsers	47
PotentialUsers	47
PotentialUsers	47
PotentialUsers	47
PotentialUsers	47
PotentialUsers	47
PotentialUsers	47
PotentialUsers	47
Boidae	47
Daurita	47
Daurita	47
Daurita	47
PotentialUsers	47
PotentialUsers	47
PotentialUsers	47
PotentialUsers	47
Daurita	47
PotentialUsers	47
Daurita	47.5
Daurita	47.5
Pcancrivorus	47.5
PotentialUsers	47.5
PotentialUsers	47.5
PotentialUsers	47.5
Boidae	47.5
Cthous	47.5
Cthous	47.5
Daurita	47.5
PotentialUsers	47.5
PotentialUsers	47.5
PotentialUsers	47.5
PotentialUsers	47.5
Cthous	47.5
PotentialUsers	47.5
Boidae	47.5
Cthous	47.5
Daurita	47.5
PotentialUsers	47.5
PotentialUsers	47.5
PotentialUsers	47.5
Cthous	48
Daurita	48
Daurita	48
Smerianae	48
PotentialUsers	48
PotentialUsers	48
PotentialUsers	48
PotentialUsers	48
Daurita	48
PotentialUsers	48
Boidae	48
Boidae	48
Boidae	48
Cthous	48
Cthous	48
Cthous	48
Cthous	48
Cthous	48
Cthous	48
Cinsidiosus	48
Cinsidiosus	48
Daurita	48
Daurita	48
Ttetradactyla	48
PotentialUsers	48
PotentialUsers	48
PotentialUsers	48
PotentialUsers	48
PotentialUsers	48
PotentialUsers	48
PotentialUsers	48
PotentialUsers	48
PotentialUsers	48
PotentialUsers	48
PotentialUsers	48
PotentialUsers	48
PotentialUsers	48
PotentialUsers	48
Daurita	48
Hhydrochaeris	48
PotentialUsers	48
PotentialUsers	48
Boidae	48.5
Ttetradactyla	48.5
PotentialUsers	48.5
PotentialUsers	48.5
Cinsidiosus	48.5
PotentialUsers	48.5
Daurita	48.5
Daurita	48.5
Daurita	48.5
PotentialUsers	48.5
PotentialUsers	48.5
PotentialUsers	48.5
Cthous	48.5
Cthous	48.5
Cinsidiosus	48.5
Cinsidiosus	48.5
Daurita	48.5
Daurita	48.5
Ttetradactyla	48.5
PotentialUsers	48.5
PotentialUsers	48.5
PotentialUsers	48.5
PotentialUsers	48.5
PotentialUsers	48.5
PotentialUsers	48.5
PotentialUsers	48.5
Boidae	49
Ebarbara	49
Ttetradactyla	49
PotentialUsers	49
PotentialUsers	49
PotentialUsers	49
PotentialUsers	49
Cthous	49
PotentialUsers	49
Boidae	49
Boidae	49
Cthous	49
Dasypodidae	49
Dasypodidae	49
Daurita	49
Hhydrochaeris	49
Smerianae	49
Smerianae	49
PotentialUsers	49
PotentialUsers	49
PotentialUsers	49
PotentialUsers	49
PotentialUsers	49
PotentialUsers	49
PotentialUsers	49
PotentialUsers	49
PotentialUsers	49
Boidae	49
Cthous	49
PotentialUsers	49
PotentialUsers	49
Boidae	49.5
Ttetradactyla	49.5
PotentialUsers	49.5
PotentialUsers	49.5
Daurita	49.5
Daurita	49.5
Daurita	49.5
PotentialUsers	49.5
PotentialUsers	49.5
PotentialUsers	49.5
Daurita	49.5
PotentialUsers	49.5
Boidae	50
Daurita	50
Daurita	50
Ebarbara	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
Boidae	50
Cthous	50
Cthous	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
Boidae	50
Boidae	50
Boidae	50
Boidae	50
Boidae	50
Boidae	50
Boidae	50
Cthous	50
Cinsidiosus	50
Dasypodidae	50
Dasypodidae	50
Daurita	50
Daurita	50
Daurita	50
Daurita	50
Daurita	50
Daurita	50
Daurita	50
Daurita	50
Hhydrochaeris	50
Smerianae	50
Sbrasiliensis	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
Boidae	50
Daurita	50
Daurita	50
Daurita	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
Cthous	50
Cthous	50
Cinsidiosus	50
Cinsidiosus	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
PotentialUsers	50
Daurita	50.5
Daurita	50.5
PotentialUsers	50.5
PotentialUsers	50.5
Cthous	50.5
PotentialUsers	50.5
Cthous	50.5
Cinsidiosus	50.5
Cinsidiosus	50.5
PotentialUsers	50.5
PotentialUsers	50.5
PotentialUsers	50.5
Cinsidiosus	51
Ebarbara	51
Smerianae	51
PotentialUsers	51
PotentialUsers	51
PotentialUsers	51
Boidae	51
PotentialUsers	51
Boidae	51
Boidae	51
Boidae	51
Cthous	51
Cinsidiosus	51
Cinsidiosus	51
Cinsidiosus	51
Dasypodidae	51
Dasypodidae	51
Daurita	51
Sbrasiliensis	51
PotentialUsers	51
PotentialUsers	51
PotentialUsers	51
PotentialUsers	51
PotentialUsers	51
PotentialUsers	51
PotentialUsers	51
PotentialUsers	51
PotentialUsers	51
PotentialUsers	51
PotentialUsers	51
Boidae	51
Boidae	51
Daurita	51
PotentialUsers	51
PotentialUsers	51
PotentialUsers	51
Dasypodidae	51.5
PotentialUsers	51.5
Boidae	51.5
Boidae	51.5
PotentialUsers	51.5
PotentialUsers	51.5
Cthous	51.5
Pcancrivorus	51.5
PotentialUsers	51.5
PotentialUsers	51.5
Boidae	51.5
PotentialUsers	51.5
Cthous	51.5
PotentialUsers	51.5
Cthous	52
PotentialUsers	52
Boidae	52
Boidae	52
Daurita	52
PotentialUsers	52
PotentialUsers	52
PotentialUsers	52
Boidae	52
Cthous	52
Daurita	52
Daurita	52
Daurita	52
Daurita	52
Daurita	52
Daurita	52
Ebarbara	52
Hhydrochaeris	52
Ttetradactyla	52
PotentialUsers	52
PotentialUsers	52
PotentialUsers	52
PotentialUsers	52
PotentialUsers	52
PotentialUsers	52
PotentialUsers	52
PotentialUsers	52
PotentialUsers	52
PotentialUsers	52
PotentialUsers	52
Boidae	52
Boidae	52
PotentialUsers	52
PotentialUsers	52
Cinsidiosus	52
Daurita	52
PotentialUsers	52
PotentialUsers	52
PotentialUsers	52
Cthous	52.5
PotentialUsers	52.5
Hhydrochaeris	52.5
PotentialUsers	52.5
Cthous	52.5
PotentialUsers	52.5
Sbrasiliensis	52.5
PotentialUsers	52.5
Daurita	53
PotentialUsers	53
Boidae	53
Cthous	53
Cthous	53
Cthous	53
Cthous	53
Daurita	53
Daurita	53
PotentialUsers	53
PotentialUsers	53
PotentialUsers	53
PotentialUsers	53
PotentialUsers	53
PotentialUsers	53
PotentialUsers	53
Cthous	53
Daurita	53
PotentialUsers	53
PotentialUsers	53
PotentialUsers	53.5
Cthous	54
Cthous	54
PotentialUsers	54
PotentialUsers	54
PotentialUsers	54
PotentialUsers	54
Boidae	54
PotentialUsers	54
Cthous	54
Cinsidiosus	54
Cinsidiosus	54
Cinsidiosus	54
Daurita	54
Daurita	54
Daurita	54
Hhydrochaeris	54
Smerianae	54
PotentialUsers	54
PotentialUsers	54
PotentialUsers	54
PotentialUsers	54
PotentialUsers	54
PotentialUsers	54
PotentialUsers	54
PotentialUsers	54
PotentialUsers	54
Ttetradactyla	54
PotentialUsers	54
Hhydrochaeris	54
Hhydrochaeris	54
PotentialUsers	54
PotentialUsers	54
Cthous	54.5
Cinsidiosus	54.5
Daurita	54.5
Pcancrivorus	54.5
PotentialUsers	54.5
PotentialUsers	54.5
PotentialUsers	54.5
PotentialUsers	54.5
Boidae	54.5
Boidae	54.5
Ttetradactyla	54.5
PotentialUsers	54.5
PotentialUsers	54.5
PotentialUsers	54.5
Daurita	54.5
Smerianae	54.5
PotentialUsers	54.5
PotentialUsers	54.5
PotentialUsers	54.5
Boidae	54.5
Boidae	54.5
PotentialUsers	54.5
PotentialUsers	54.5
Daurita	55
PotentialUsers	55
Boidae	55
PotentialUsers	55
Boidae	55
Boidae	55
Boidae	55
Cinsidiosus	55
Cinsidiosus	55
Cinsidiosus	55
Dasypodidae	55
Dasypodidae	55
Daurita	55
Hhydrochaeris	55
Pcancrivorus	55
Sbrasiliensis	55
PotentialUsers	55
PotentialUsers	55
PotentialUsers	55
PotentialUsers	55
PotentialUsers	55
PotentialUsers	55
PotentialUsers	55
PotentialUsers	55
PotentialUsers	55
PotentialUsers	55
PotentialUsers	55
PotentialUsers	55
PotentialUsers	55
Daurita	55
PotentialUsers	55
Cinsidiosus	55
Cinsidiosus	55
PotentialUsers	55
PotentialUsers	55
Boidae	55.5
Boidae	55.5
Cthous	55.5
Cinsidiosus	55.5
Daurita	55.5
PotentialUsers	55.5
PotentialUsers	55.5
PotentialUsers	55.5
PotentialUsers	55.5
PotentialUsers	55.5
Ttetradactyla	55.5
PotentialUsers	55.5
Boidae	55.5
Boidae	55.5
PotentialUsers	55.5
PotentialUsers	55.5
PotentialUsers	55.5
Dasypodidae	55.5
PotentialUsers	55.5
Boidae	56
Cinsidiosus	56
PotentialUsers	56
PotentialUsers	56
Cinsidiosus	56
PotentialUsers	56
Boidae	56
Boidae	56
Boidae	56
Boidae	56
Cthous	56
Cinsidiosus	56
Dasypodidae	56
PotentialUsers	56
PotentialUsers	56
PotentialUsers	56
PotentialUsers	56
PotentialUsers	56
PotentialUsers	56
PotentialUsers	56
Daurita	56
PotentialUsers	56
Pcancrivorus	56.5
PotentialUsers	56.5
PotentialUsers	56.5
Pcancrivorus	56.5
PotentialUsers	56.5
Cthous	57
PotentialUsers	57
Daurita	57
PotentialUsers	57
Boidae	57
Cthous	57
Cthous	57
Daurita	57
Pcancrivorus	57
PotentialUsers	57
PotentialUsers	57
PotentialUsers	57
PotentialUsers	57
PotentialUsers	57
Cthous	57.5
Daurita	57.5
Daurita	57.5
PotentialUsers	57.5
PotentialUsers	57.5
PotentialUsers	57.5
Cthous	57.5
Dasypodidae	57.5
PotentialUsers	57.5
PotentialUsers	57.5
Boidae	57.5
Cinsidiosus	57.5
Dasypodidae	57.5
PotentialUsers	57.5
PotentialUsers	57.5
PotentialUsers	57.5
Cthous	57.5
PotentialUsers	57.5
Boidae	58
Boidae	58
Smerianae	58
PotentialUsers	58
PotentialUsers	58
PotentialUsers	58
Daurita	58
PotentialUsers	58
Boidae	58
Dasypodidae	58
Daurita	58
PotentialUsers	58
PotentialUsers	58
PotentialUsers	58
Daurita	58
PotentialUsers	58
Sbrasiliensis	58
PotentialUsers	58
Daurita	58.5
PotentialUsers	58.5
Cthous	58.5
PotentialUsers	58.5
Sbrasiliensis	58.5
PotentialUsers	58.5
Pcancrivorus	58.5
PotentialUsers	58.5
Boidae	59
PotentialUsers	59
Cthous	59
Pcancrivorus	59
PotentialUsers	59
PotentialUsers	59
Boidae	59
Boidae	59
Boidae	59
Boidae	59
Boidae	59
Boidae	59
Cinsidiosus	59
Cinsidiosus	59
Cinsidiosus	59
Dasypodidae	59
Daurita	59
Smerianae	59
Smerianae	59
Smerianae	59
PotentialUsers	59
PotentialUsers	59
PotentialUsers	59
PotentialUsers	59
PotentialUsers	59
PotentialUsers	59
PotentialUsers	59
PotentialUsers	59
PotentialUsers	59
PotentialUsers	59
PotentialUsers	59
PotentialUsers	59
PotentialUsers	59
PotentialUsers	59
Boidae	59
Daurita	59
Daurita	59
PotentialUsers	59
PotentialUsers	59
PotentialUsers	59
Daurita	59
PotentialUsers	59
Boidae	59.5
Cinsidiosus	59.5
Cinsidiosus	59.5
Cinsidiosus	59.5
PotentialUsers	59.5
PotentialUsers	59.5
PotentialUsers	59.5
PotentialUsers	59.5
Boidae	59.5
Boidae	59.5
Cinsidiosus	59.5
Dasypodidae	59.5
Dasypodidae	59.5
Daurita	59.5
Daurita	59.5
Hhydrochaeris	59.5
PotentialUsers	59.5
PotentialUsers	59.5
PotentialUsers	59.5
PotentialUsers	59.5
PotentialUsers	59.5
PotentialUsers	59.5
PotentialUsers	59.5
PotentialUsers	59.5
Cinsidiosus	59.5
PotentialUsers	59.5
Boidae	59.5
Boidae	59.5
Boidae	59.5
Cthous	59.5
Cinsidiosus	59.5
Cinsidiosus	59.5
Daurita	59.5
Daurita	59.5
PotentialUsers	59.5
PotentialUsers	59.5
PotentialUsers	59.5
PotentialUsers	59.5
PotentialUsers	59.5
PotentialUsers	59.5
PotentialUsers	59.5
PotentialUsers	59.5
Boidae	60
Boidae	60
Cthous	60
Cinsidiosus	60
Cinsidiosus	60
Daurita	60
PotentialUsers	60
PotentialUsers	60
PotentialUsers	60
PotentialUsers	60
PotentialUsers	60
PotentialUsers	60
Cinsidiosus	60
Cinsidiosus	60
Ttetradactyla	60
PotentialUsers	60
PotentialUsers	60
PotentialUsers	60
Boidae	60
Boidae	60
Boidae	60
Cthous	60
Daurita	60
Daurita	60
Daurita	60
Daurita	60
Ebarbara	60
Sbrasiliensis	60
PotentialUsers	60
PotentialUsers	60
PotentialUsers	60
PotentialUsers	60
PotentialUsers	60
PotentialUsers	60
PotentialUsers	60
PotentialUsers	60
PotentialUsers	60
PotentialUsers	60
Cthous	60
PotentialUsers	60
Cthous	60
Daurita	60
PotentialUsers	60
PotentialUsers	60
PotentialUsers	60
Daurita	60.5
PotentialUsers	60.5
Cthous	60.5
Daurita	60.5
PotentialUsers	60.5
PotentialUsers	60.5
Boidae	60.5
Boidae	60.5
Boidae	60.5
Boidae	60.5
PotentialUsers	60.5
PotentialUsers	60.5
PotentialUsers	60.5
PotentialUsers	60.5
Boidae	60.5
Daurita	60.5
Ebarbara	60.5
PotentialUsers	60.5
PotentialUsers	60.5
PotentialUsers	60.5
Cinsidiosus	61
Sbrasiliensis	61
PotentialUsers	61
PotentialUsers	61
Cthous	61
Pcancrivorus	61
PotentialUsers	61
PotentialUsers	61
Boidae	61
Boidae	61
Cinsidiosus	61
Daurita	61
Daurita	61
Daurita	61
Daurita	61
Pcancrivorus	61
Smerianae	61
Sbrasiliensis	61
Ttetradactyla	61
Ttetradactyla	61
Ttetradactyla	61
PotentialUsers	61
PotentialUsers	61
PotentialUsers	61
PotentialUsers	61
PotentialUsers	61
PotentialUsers	61
PotentialUsers	61
PotentialUsers	61
PotentialUsers	61
PotentialUsers	61
PotentialUsers	61
PotentialUsers	61
PotentialUsers	61
Daurita	61.5
PotentialUsers	61.5
Boidae	61.5
PotentialUsers	61.5
Daurita	61.5
Daurita	61.5
PotentialUsers	61.5
PotentialUsers	61.5
Cinsidiosus	62
Pcancrivorus	62
PotentialUsers	62
PotentialUsers	62
Boidae	62
Boidae	62
Boidae	62
Boidae	62
Cthous	62
Cthous	62
Cthous	62
Daurita	62
Daurita	62
Daurita	62
Pcancrivorus	62
PotentialUsers	62
PotentialUsers	62
PotentialUsers	62
PotentialUsers	62
PotentialUsers	62
PotentialUsers	62
PotentialUsers	62
PotentialUsers	62
PotentialUsers	62
PotentialUsers	62
PotentialUsers	62
Ttetradactyla	62.5
PotentialUsers	62.5
Boidae	62.5
PotentialUsers	62.5
Cinsidiosus	62.5
PotentialUsers	62.5
Cthous	63
Cthous	63
Cthous	63
PotentialUsers	63
PotentialUsers	63
PotentialUsers	63
PotentialUsers	63
Boidae	63
Boidae	63
Boidae	63
Cthous	63
Cthous	63
Cthous	63
Cthous	63
Cthous	63
Cinsidiosus	63
Daurita	63
Ebarbara	63
Ttetradactyla	63
PotentialUsers	63
PotentialUsers	63
PotentialUsers	63
PotentialUsers	63
PotentialUsers	63
PotentialUsers	63
PotentialUsers	63
PotentialUsers	63
PotentialUsers	63
PotentialUsers	63
PotentialUsers	63
PotentialUsers	63
PotentialUsers	63
Boidae	63.5
Cinsidiosus	63.5
Sbrasiliensis	63.5
PotentialUsers	63.5
PotentialUsers	63.5
PotentialUsers	63.5
PotentialUsers	63.5
Pcancrivorus	63.5
PotentialUsers	63.5
Pcancrivorus	64
PotentialUsers	64
Sbrasiliensis	64
PotentialUsers	64
Boidae	64.5
Cinsidiosus	64.5
PotentialUsers	64.5
PotentialUsers	64.5
Boidae	64.5
Cthous	64.5
PotentialUsers	64.5
PotentialUsers	64.5
Daurita	64.5
PotentialUsers	64.5
Cthous	65
PotentialUsers	65
Boidae	65
Cthous	65
PotentialUsers	65
PotentialUsers	65
Boidae	65
Boidae	65
Cthous	65
Cinsidiosus	65
Daurita	65
PotentialUsers	65
PotentialUsers	65
PotentialUsers	65
PotentialUsers	65
PotentialUsers	65
Dasypodidae	65
PotentialUsers	65
Daurita	65.5
PotentialUsers	65.5
Daurita	66
PotentialUsers	66
Boidae	66
Daurita	66
Llongicaudis	66
PotentialUsers	66
PotentialUsers	66
PotentialUsers	66
Boidae	66
Cinsidiosus	66
Cinsidiosus	66
Cinsidiosus	66
Daurita	66
Daurita	66
Daurita	66
PotentialUsers	66
PotentialUsers	66
PotentialUsers	66
PotentialUsers	66
PotentialUsers	66
PotentialUsers	66
PotentialUsers	66
Daurita	66
Daurita	66
PotentialUsers	66
PotentialUsers	66
Daurita	66
PotentialUsers	66
Cinsidiosus	66.5
Daurita	66.5
PotentialUsers	66.5
PotentialUsers	66.5
Daurita	66.5
PotentialUsers	66.5
Boidae	66.5
Daurita	66.5
Daurita	66.5
PotentialUsers	66.5
PotentialUsers	66.5
