spp;year;segment
Coendou insidiosus;2009;65
Cerdocyon thous;2009;44
Cuniculus paca;2009;28
Cerdocyon thous;2009;8.5
Didelphis aurita;2009;43
Cerdocyon thous;2009;50
Lontra longicaudis;2009;27
Boa constrictor;2009;49
Cerdocyon thous;2009;52.5
Cerdocyon thous;2009;43
Epicrates cenchria ;2009;45.5
Didelphis aurita;2009;60
Didelphis aurita;2009;47.5
Didelphis aurita;2009;61
Sylvilagus brasiliensis;2009;58
Cerdocyon thous;2009;50.5
Cerdocyon thous;2009;48
Didelphis aurita;2009;41
Boa constrictor;2009;67
Coendou insidiosus;2009;52
Coendou insidiosus;2009;28.5
Procyon cancrivorus;2009;36
Boa constrictor;2009;59
Coendou insidiosus;2009;44.5
Coendou insidiosus;2009;45
Cariama cristata;2009;17.5
Salvator merianae;2009;49
Didelphis aurita;2009;26.5
Didelphis aurita;2009;24
Didelphis aurita;2009;61
Salvator merianae;2009;38
Salvator merianae;2009;59
Didelphis aurita;2009;27
Epicrates cenchria ;2009;55.5
Epicrates cenchria ;2009;51
Boa constrictor;2009;59.5
Boa constrictor;2009;39
Didelphis aurita;2009;30.5
Didelphis aurita;2009;23.5
Cerdocyon thous;2009;34.5
Didelphis aurita;2009;42
Chaetomys subspinosus;2009;47
Didelphis aurita;2009;23
Didelphis aurita;2009;37.5
Boa constrictor;2009;29
Cerdocyon thous;2009;11
Didelphis aurita;2009;18
Coendou insidiosus;2009;26.5
Boa constrictor;2009;58
Sylvilagus brasiliensis;2009;33.5
Chaetomys subspinosus;2009;45.5
Didelphis aurita;2009;54
Didelphis aurita;2010;50.5
Didelphis aurita;2010;47
Didelphis aurita;2010;46
Didelphis aurita;2010;60.5
Hydrochoerus hydrochaeris;2010;19
Hydrochoerus hydrochaeris;2010;19
Didelphis aurita;2009;27
Didelphis aurita;2009;34
Dasypus septemcinctus;2009;19
Boa constrictor;2010;34
Coendou insidiosus;2010;56
Didelphis aurita;2010;59.5
Dasypus septemcinctus;2010;57.5
Didelphis aurita;2010;66.5
Didelphis aurita;2010;60
Didelphis aurita;2010;42
Eira barbara;2010;50
Chaetomys subspinosus;2010;63
Hydrochoerus hydrochaeris;2010;35
Boa constrictor;2010;34.5
Sylvilagus brasiliensis;2010;50
Boa constrictor;2010;38
Cerdocyon thous;2010;47
Boa constrictor;2010;48
Cerdocyon thous;2010;57.5
Boa constrictor;2010;50
Corallus hortulanus;2010;62
Boa constrictor;2010;41
Cerdocyon thous;2010;58.5
Didelphis aurita;2010;61
Didelphis aurita;2010;46.5
Coendou insidiosus;2010;56
Didelphis aurita;2010;48.5
Didelphis aurita;2010;45
Tamandua tetradactyla;2010;45
Boa constrictor;2010;46
Boa constrictor;2010;45
Didelphis aurita;2010;61.5
Didelphis aurita;2010;42.5
Didelphis aurita;2010;43.5
Didelphis aurita;2010;44
Cerdocyon thous;2010;42
Didelphis aurita;2010;45.5
Boa constrictor;2010;11
Cerdocyon thous;2010;60.5
Boa constrictor;2010;60.5
Didelphis aurita;2010;43
Didelphis aurita;2010;42.5
Boa constrictor;2010;62.5
Didelphis aurita;2010;42.5
Coendou insidiosus;2010;50
Boa constrictor;2010;60.5
Didelphis aurita;2010;24
Didelphis aurita;2010;24
Sylvilagus brasiliensis;2010;51
Sylvilagus brasiliensis;2010;63.5
Boa constrictor;2010;37
Epicrates cenchria ;2010;59
Didelphis aurita;2010;45
Tamandua tetradactyla;2010;48
Didelphis aurita;2010;23
Boa constrictor;2010;54.5
Cerdocyon thous;2010;18
Didelphis aurita;2010;33
Didelphis aurita;2010;22
Didelphis aurita;2010;46
Didelphis aurita;2010;55
Cerdocyon thous;2010;63
Cerdocyon thous;2010;11
Tamandua tetradactyla;2010;61
Coendou insidiosus;2010;43
Didelphis aurita;2010;49.5
Didelphis aurita;2010;44
Didelphis aurita;2010;54
Tamandua tetradactyla;2010;39
Salvator merianae;2010;44
Cerdocyon thous;2010;12
Didelphis aurita;2010;48
Didelphis aurita;2010;45
Didelphis aurita;2010;45
Didelphis aurita;2010;47
Tamandua tetradactyla;2010;37
Lontra longicaudis;2010;28
Tamandua tetradactyla;2010;20.5
Procyon cancrivorus;2010;63.5
Boa constrictor;2010;63
Boa constrictor;2010;40
Boa constrictor;2010;45
Coendou insidiosus;2010;40
Boa constrictor;2010;40
Epicrates cenchria ;2010;45
Didelphis aurita;2011;63
Didelphis aurita;2011;53
Didelphis aurita;2011;42
Boa constrictor;2011;43
Cerdocyon thous;2011;48
Boa constrictor;2011;39
Boa constrictor;2011;18
Epicrates cenchria ;2011;48
Epicrates cenchria ;2011;60
Didelphis aurita;2011;20
Coendou insidiosus;2011;43
Didelphis aurita;2011;40.5
Didelphis aurita;2011;28
Didelphis aurita;2011;42.5
Boa constrictor;2011;39
Didelphis aurita;2011;28
Didelphis aurita;2011;42
Didelphis aurita;2011;29
Cerdocyon thous;2011;62
Didelphis aurita;2011;24
Didelphis aurita;2011;22
Cerdocyon thous;2011;56
Cariama cristata;2011;55
Cerdocyon thous;2011;30
Cerdocyon thous;2011;53
Boa constrictor;2011;16.5
Didelphis aurita;2011;28
Cerdocyon thous;2011;36.5
Didelphis aurita;2011;45
Didelphis aurita;2011;67
Didelphis aurita;2011;27
Procyon cancrivorus;2011;29
Didelphis aurita;2011;45.5
Didelphis aurita;2011;20.5
Didelphis aurita;2011;56
Didelphis aurita;2011;39
Didelphis aurita;2011;44
Cerdocyon thous;2011;23
Didelphis aurita;2011;17.5
Didelphis aurita;2011;47
Didelphis aurita;2011;50
Cerdocyon thous;2011;45.5
Didelphis aurita;2011;38
Cerdocyon thous;2011;65
Didelphis aurita;2011;12
Didelphis aurita;2011;26.5
Didelphis aurita;2011;32
Epicrates cenchria ;2011;52
Coendou insidiosus;2011;11.5
Cerdocyon thous;2011;67
Epicrates cenchria ;2011;48.5
Cerdocyon thous;2011;37
Didelphis aurita;2011;22
Didelphis aurita;2011;21
Lontra longicaudis;2011;66
Procyon cancrivorus;2011;41.5
Didelphis aurita;2011;37
Cerdocyon thous;2011;38
Cerdocyon thous;2011;12
Procyon cancrivorus;2011;47
Cerdocyon thous;2011;39
Didelphis aurita;2011;66
Coendou insidiosus;2011;55
Cerdocyon thous;2011;54.5
Didelphis aurita;2011;52
Didelphis aurita;2011;18.5
Didelphis aurita;2011;20
Cerdocyon thous;2011;47.5
Boa constrictor;2011;47.5
Coendou insidiosus;2011;41
Cerdocyon thous;2011;50
Coendou insidiosus;2011;55.5
Boa constrictor;2011;67
Boa constrictor;2011;28.5
Didelphis aurita;2011;28
Didelphis aurita;2011;10
Didelphis aurita;2011;13
Didelphis aurita;2011;20.5
Didelphis aurita;2011;14
Didelphis aurita;2011;22.5
Coendou insidiosus;2011;22
Didelphis aurita;2011;26
Didelphis aurita;2011;20.5
Hydrochoerus hydrochaeris;2011;31
Didelphis aurita;2011;33
Boa constrictor;2011;18.5
Boa constrictor;2011;39.5
Cerdocyon thous;2011;38
Cerdocyon thous;2011;38
Herpailurus yagouaroundi;2011;38
Boa constrictor;2011;38
Didelphis aurita;2011;35
Didelphis aurita;2011;19
Didelphis aurita;2011;19
Didelphis aurita;2011;32
Didelphis aurita;2011;24
Chaetomys subspinosus;2011;14
Didelphis aurita;2011;19
Procyon cancrivorus;2011;40
Tamandua tetradactyla;2011;35.5
Tamandua tetradactyla;2012;19
Herpailurus yagouaroundi;2012;54
Cerdocyon thous;2012;29
Coendou insidiosus;2012;19
Boa constrictor;2012;39
Boa constrictor;2012;31
Eira barbara;2012;52
Didelphis aurita;2012;30
Didelphis aurita;2012;44
Boa constrictor;2012;30
Boa constrictor;2012;19
Didelphis aurita;2012;24
Coendou insidiosus;2012;20
Didelphis aurita;2012;29.5
Cerdocyon thous;2012;23
Sylvilagus brasiliensis;2012;22.5
Salvator merianae;2012;30
Boa constrictor;2012;56
Didelphis aurita;2012;27
Cerdocyon thous;2012;47
Didelphis aurita;2012;34
Didelphis aurita;2012;67
Epicrates cenchria ;2012;60
Didelphis aurita;2012;60
Didelphis aurita;2012;60.5
Chaetomys subspinosus;2012;39
Coendou insidiosus;2012;40
Didelphis aurita;2012;37.5
Coendou insidiosus;2012;26.5
Didelphis aurita;2012;29.5
Cariama cristata;2012;53.5
Didelphis aurita;2012;23
Didelphis aurita;2012;46
Didelphis aurita;2012;43
Procyon cancrivorus;2012;11.5
Tamandua tetradactyla;2012;38
Sylvilagus brasiliensis;2012;33
Didelphis aurita;2012;46
Didelphis aurita;2012;61.5
Didelphis aurita;2012;51
Tamandua tetradactyla;2012;22.5
Dasypus novemcinctus;2012;18.5
Procyon cancrivorus;2012;34
Coendou insidiosus;2012;40
Epicrates cenchria ;2012;46
Didelphis aurita;2012;25
Coendou insidiosus;2012;32.5
Coendou insidiosus;2012;55
Didelphis aurita;2012;67
Coendou insidiosus;2012;38
Herpailurus yagouaroundi;2012;31
Procyon cancrivorus;2012;19.5
Didelphis aurita;2012;39.5
Boa constrictor;2012;27
Didelphis aurita;2012;50.5
Didelphis aurita;2012;23
Cerdocyon thous;2012;38
Didelphis aurita;2012;53
Didelphis aurita;2012;28.5
Didelphis aurita;2012;18
Didelphis aurita;2012;26.5
Didelphis aurita;2012;46
Didelphis aurita;2012;57.5
Didelphis aurita;2012;28
Didelphis aurita;2012;33
Didelphis aurita;2012;40
Dasypus novemcinctus;2012;13.5
Didelphis aurita;2012;49.5
Procyon cancrivorus;2012;34
Didelphis aurita;2012;19.5
Cerdocyon thous;2012;20
Didelphis aurita;2012;66
Didelphis aurita;2012;66
Didelphis aurita;2012;50
Cerdocyon thous;2012;18
Procyon cancrivorus;2012;38
Didelphis aurita;2012;28
Cerdocyon thous;2012;39
Tamandua tetradactyla;2012;40
Tamandua tetradactyla;2012;13
Tamandua tetradactyla;2012;35
Boa constrictor;2012;49.5
Coendou insidiosus;2012;54.5
Didelphis aurita;2012;26.5
Coendou insidiosus;2012;19
Didelphis aurita;2012;39
Boa constrictor;2012;64.5
Coendou insidiosus;2012;54
Cerdocyon thous;2012;47
Cariama cristata;2012;50
Tamandua tetradactyla;2012;37
Coendou insidiosus;2012;24.5
Cerdocyon thous;2012;36
Cerdocyon thous;2012;24
Boa constrictor;2012;28
Tamandua tetradactyla;2012;52
Cerdocyon thous;2012;48
Boa constrictor;2012;37.5
Didelphis aurita;2012;29
Didelphis aurita;2012;52
Cerdocyon thous;2012;52
Didelphis aurita;2012;26.5
Didelphis aurita;2012;27.5
Boa constrictor;2012;16.5
Boa constrictor;2012;18.5
Boa constrictor;2012;30
Coendou insidiosus;2012;47
Tamandua tetradactyla;2012;37.5
Dasypus septemcinctus;2012;40
Didelphis aurita;2012;13
Didelphis aurita;2012;27.5
Boa constrictor;2012;59.5
Hydrochoerus hydrochaeris;2012;45
Didelphis aurita;2012;41.5
Didelphis aurita;2012;30
Didelphis aurita;2012;26.5
Didelphis aurita;2012;18
Boa constrictor;2012;20
Coendou insidiosus;2012;19
Didelphis aurita;2012;24.5
Didelphis aurita;2012;27
Didelphis aurita;2012;27
Cerdocyon thous;2012;48
Boa constrictor;2012;33
Didelphis aurita;2012;20.5
Coendou insidiosus;2012;18.5
Cerdocyon thous;2012;19.5
Coendou insidiosus;2012;19
Coendou insidiosus;2012;59.5
Boa constrictor;2012;29
Cerdocyon thous;2012;40
Boa constrictor;2012;36
Boa constrictor;2012;54
Coendou insidiosus;2012;38
Boa constrictor;2012;38.5
Boa constrictor;2012;26.5
Boa constrictor;2012;13.5
Boa constrictor;2012;13
Boa constrictor;2012;46
Didelphis aurita;2012;21
Boa constrictor;2012;24
Didelphis aurita;2012;26
Didelphis aurita;2012;42
Didelphis aurita;2012;28
Cerdocyon thous;2012;40
Boa constrictor;2012;43
Didelphis aurita;2012;24
Boa constrictor;2012;39
Didelphis aurita;2012;24
Boa constrictor;2012;40
Hydrochoerus hydrochaeris;2012;67
Didelphis aurita;2012;26.5
Didelphis aurita;2012;18
Didelphis aurita;2012;27
Cerdocyon thous;2012;38
Didelphis aurita;2012;41
Didelphis aurita;2012;40.5
Boa constrictor;2012;39
Epicrates cenchria ;2012;45.5
Boa constrictor;2012;62
Dasypus novemcinctus;2012;24.5
Didelphis aurita;2012;18.5
Euphractus sexcinctus;2012;37.5
Chaetomys subspinosus;2012;44
Dasypus septemcinctus;2012;50
Dasypus novemcinctus;2012;50
Didelphis aurita;2012;24.5
Boa constrictor;2012;38
Boa constrictor;2012;35
Coendou insidiosus;2012;42
Boa constrictor;2012;40
Cerdocyon thous;2012;34
Boa constrictor;2012;57
Coendou insidiosus;2012;31
Dasypus novemcinctus;2012;35.5
Procyon cancrivorus;2012;38.5
Didelphis aurita;2012;44
Sylvilagus brasiliensis;2012;40
Cerdocyon thous;2012;48
Didelphis aurita;2012;24
Coendou insidiosus;2012;55
Coendou insidiosus;2012;59.5
Didelphis aurita;2012;22
Didelphis aurita;2012;58
Boa constrictor;2012;16
Didelphis aurita;2012;43
Coendou insidiosus;2012;51
Didelphis aurita;2012;49.5
Boa constrictor;2013;38
Cerdocyon thous;2013;40
Boa constrictor;2013;50
Dasypus novemcinctus;2013;55
Dasypus novemcinctus;2013;24
Didelphis aurita;2013;40
Didelphis aurita;2013;42.5
Euphractus sexcinctus;2013;40
Dasypus novemcinctus;2013;31.5
Didelphis aurita;2013;47
Coendou insidiosus;2013;59
Chaetomys subspinosus;2013;27
Boa constrictor;2013;29
Boa constrictor;2013;21
Didelphis aurita;2013;28
Procyon cancrivorus;2013;12
Coendou insidiosus;2013;45.5
Didelphis aurita;2013;40
Boa constrictor;2013;59
Boa constrictor;2013;18
Didelphis aurita;2013;42
Procyon cancrivorus;2013;13.5
Didelphis aurita;2013;27
Didelphis aurita;2013;29
Corallus hortulanus;2013;45.5
Didelphis aurita;2013;23.5
Boa constrictor;2013;18.5
Didelphis aurita;2013;44
Didelphis aurita;2013;54.5
Coendou insidiosus;2013;59.5
Didelphis aurita;2013;53
Didelphis aurita;2013;42
Didelphis aurita;2013;36
Boa constrictor;2013;41.5
Boa constrictor;2013;40
Didelphis aurita;2013;26.5
Didelphis aurita;2013;16
Boa constrictor;2013;57.5
Hydrochoerus hydrochaeris;2013;20.5
Hydrochoerus hydrochaeris;2013;40.5
Coendou insidiosus;2013;38
Didelphis aurita;2013;24
Boa constrictor;2013;39
Boa constrictor;2013;31
Cerdocyon thous;2013;28
Boa constrictor;2013;33
Cerdocyon thous;2013;38
Cerdocyon thous;2013;37
Didelphis aurita;2013;50
Coendou insidiosus;2013;28
Cerdocyon thous;2013;22
Didelphis aurita;2013;19
Didelphis aurita;2013;50
Didelphis aurita;2013;26
Didelphis aurita;2013;65.5
Didelphis aurita;2013;52
Boa constrictor;2013;50
Didelphis aurita;2013;38
Dasypus novemcinctus;2013;24
Boa constrictor;2013;36.5
Didelphis aurita;2013;27
Hydrochoerus hydrochaeris;2013;48
Didelphis aurita;2013;44
Didelphis aurita;2013;66
Boa constrictor;2013;35
Epicrates cenchria ;2013;45.5
Boa constrictor;2013;35.5
Boa constrictor;2013;16.5
Didelphis aurita;2013;28
Boa constrictor;2013;39.5
Didelphis aurita;2013;29
Tamandua tetradactyla;2013;61
Didelphis aurita;2013;40.5
Tamandua tetradactyla;2013;29
Didelphis aurita;2013;24
Didelphis aurita;2013;18.5
Tamandua tetradactyla;2013;40
Dasypus novemcinctus;2013;58
Didelphis aurita;2013;52
Epicrates cenchria ;2013;46
Didelphis aurita;2013;24
Boa constrictor;2013;19
Didelphis aurita;2013;26
Didelphis aurita;2013;41.5
Didelphis aurita;2013;57
Didelphis aurita;2013;34
Didelphis aurita;2013;44
Didelphis aurita;2013;20
Boa constrictor;2013;32
Didelphis aurita;2013;23
Didelphis aurita;2013;40
Cerdocyon thous;2013;19.5
Dasypus novemcinctus;2013;31
Didelphis aurita;2013;32
