342603.773	7717960.365	24K	1
337077.546	7711722.711	24K	1
342603.773	7717960.365	24K	1
337568.996	7714784.807	24K	1
350993.659	7719923.516	24K	1
344335.445	7719456.296	24K	1
337259.706	7711262.417	24K	1
340796.101	7717325.834	24K	1
361520.493	7742499.005	24K	1
337378.731	7707264.265	24K	1
336872.742	7713080.161	24K	1
359798.014	7736950.003	24K	1
336872.742	7713080.161	24K	1
360095.425	7737331.298	24K	1
361430.897	7742017.291	24K	1
350227.571	7719302.125	24K	1
357726.22	7732110.404	24K	1
351360.497	7721384.051	24K	1
341649.89	7717732.333	24K	1
341649.89	7717732.333	24K	1
351891.931	7723215.976	24K	1
337643.861	7715254.701	24K	1
357844.96	7732565.08	24K	1
350227.571	7719302.125	24K	1
353906.054	7726619.52	24K	1
357844.96	7732565.08	24K	1
337156.151	7712670.732	24K	1
354186.816	7727013.271	24K	1
344935.159	7720152.463	24K	1
352675.958	7724440.777	24K	1
361752.106	7743490.169	24K	1
352675.958	7724440.777	24K	1
337643.861	7715254.701	24K	1
340796.101	7717325.834	24K	1
361520.493	7742499.005	24K	1
351377.505	7721357.477	24K	1
340502.743	7716894.884	24K	1
337431.418	7714326.782	24K	1
347435.887	7720183.461	24K	1
351567.838	7722866.931	24K	1
351011.695	7719907.047	24K	1
355997.838	7729406.419	24K	1
344196.843	7718963.296	24K	1
355997.838	7729406.419	24K	1
346458.161	7720285.095	24K	1
362713.983	7744604.166	24K	1
337259.706	7711262.417	24K	1
362713.983	7744604.166	24K	1
