341622.408	7717980.912	24K	1
359798.014	7736950.003	24K	1
359798.014	7736950.003	24K	1
352249.153	7723551.049	24K	1
354173.835	7727026.818	24K	1
345472.064	7720137.767	24K	1
338371.719	7705737.41	24K	1
358986.37	7735611.973	24K	1
349805.029	7719602.441	24K	1
343415.342	7718405.572	24K	1
351293.407	7720872.75	24K	1
355366.241	7728684.305	24K	1
355366.241	7728684.305	24K	1
358238.789	7732909.809	24K	1
347453.639	7720199.062	24K	1
342609.159	7717982.388	24K	1
338524.07	7715686.568	24K	1
338524.07	7715686.568	24K	1
338524.07	7715686.568	24K	1
339681.832	7716506.45	24K	1
337643.861	7715254.701	24K	1
340061.989	7716859.844	24K	1
355664.257	7729096.582	24K	1
355664.257	7729096.582	24K	1
356372.401	7729700.561	24K	1
337259.706	7711262.417	24K	1
349805.029	7719602.441	24K	1
360449.364	7737714.236	24K	1
356764.578	7730030.472	24K	1
358918.523	7734205.828	24K	1
350793.926	7719493.591	24K	1
355079.284	7728288.744	24K	1
355985.966	7729421.164	24K	1
356764.578	7730030.472	24K	1
352675.958	7724440.777	24K	1
354709.727	7727807.552	24K	1
360745.179	7738020.089	24K	1
360882.128	7738591.863	24K	1
355366.241	7728684.305	24K	1
351409.971	7721864.317	24K	1
351314.198	7720861.055	24K	1
361587.072	7742919.964	24K	1
355997.838	7729406.419	24K	1
350227.571	7719302.125	24K	1
